created_at;operation_id;company_code;amount;amount_usd;company_type;client;company_name;status;external_provider_id;external_client_id AS external_client_user_id;country_code
2025-03-01 01:58:19.615;0001b676-1e08-485b-a11c-e9c26563798e;MX-R-00008;20;1;RECHARGE;NUBANK;Movistar;confirmed;MTC081110EL3;65cb8c55-8d31-4924-8154-3fb8ed7eaa1d;MX
2025-03-03 15:13:34.316;00022cab-ef2d-412b-8e0e-ff88f149d355;AR-R-00001;2000;1.6399999999999999;RECHARGE;Ualá;CLARO;confirmed;33687309109;bc804588-17a2-4169-b423-147c6772fa70;AR
2025-03-03 16:26:08.898;00044edb-5a53-441b-9ff1-584b036231f1;MX-R-00052;10;0.5;RECHARGE;NUBANK;Telcel Amigo Sin Límite;confirmed;MTC081110EL3;6781edb7-2af8-4cd4-ac91-dd0288faa7d3;MX
2025-03-02 15:45:21.392;0004b8f4-13fa-4d1c-8e8e-fe9c216f4098;AR-R-00006;10000;;RECHARGE;Ualá;MIDE - EDENOR PRE PAGO;confirmed;30655116202;423ab1d3-ff9a-4c73-8de1-c9139d397e72;AR
2025-03-03 17:17:12.695;0004c0d1-9ead-4949-9744-d2c718ef4260;MX-R-00052;30;1.49;RECHARGE;NUBANK;Telcel Amigo Sin Límite;confirmed;MTC081110EL3;678fcc26-a6f8-4916-a1c3-d70b148f6af7;MX
2025-03-01 23:29:26.402;00056b9a-03e7-4198-8712-51b43577d230;MX-R-00052;100;4.9800000000000004;RECHARGE;NUBANK;Telcel Amigo Sin Límite;confirmed;MTC081110EL3;6459b172-c8a5-4ac7-8507-a34e37a50a5a;MX
2025-03-03 16:43:48.507;0006aa86-3779-4d25-a51b-7caba3fabaa3;AR-R-00006;3000;;RECHARGE;Ualá;MIDE - EDENOR PRE PAGO;confirmed;30655116202;a4a6628d-6874-4f35-bd62-4d8129a8a878;AR
2025-03-01 21:09:28.244;0007a139-bfa5-4997-bd98-da251463e12c;MX-R-00052;100;4.9800000000000004;RECHARGE;STORI;Telcel Amigo Sin Límite;confirmed;MTC081110EL3;1570bd9c-9932-4dbc-b145-0107992bf29a;MX
2025-03-01 21:55:02.995;000815a7-acbd-4a6e-ad7f-93db813d9b50;MX-R-00052;50;2.4900000000000002;RECHARGE;STORI;Telcel Amigo Sin Límite;confirmed;MTC081110EL3;648a7f1e-56e9-4804-a383-25cee325ee8b;MX
2025-03-02 23:00:23.756;000a548f-6711-4118-8c46-2dbdd822cf0b;MX-R-00028;60;2.9900000000000002;RECHARGE;NUBANK;Bait;confirmed;MTC081110EL3;655c2d00-276a-4720-b9b8-65bdba1d4987;MX
2025-03-01 16:14:33.342;000a6f5b-bb41-44fc-b81e-029f89e60f00;MX-R-00008;100;4.9800000000000004;RECHARGE;STORI;Movistar;confirmed;MTC081110EL3;77293e7c-5198-4eb1-9ade-bd92c996f5e5;MX
2025-03-01 17:18:43.458;000b8bbb-14ca-4e78-b5ad-5e8cca2d8392;MX-R-00028;60;2.9900000000000002;RECHARGE;NUBANK;Bait;confirmed;MTC081110EL3;65fb8981-27db-4803-8694-b18157a171e3;MX
2025-03-03 20:05:39.524;000c7860-3d11-4a49-8d50-95d3106e5ec1;MX-R-00054;20;1;RECHARGE;STORI;Telcel Tae;confirmed;MTC081110EL3;67c4baa4-72fd-4e5b-ab56-8a179ca2bda7;MX
2025-03-01 01:49:17.95;000ea6f8-c73f-4d4c-9c86-d76eb3b177b4;MX-R-00006;50;2.5;RECHARGE;NUBANK;AT&T;confirmed;MTC081110EL3;64fe70c5-c4cd-4212-8d3f-cedc833ed7c9;MX
